"STATION","NAME","DATE","AWND","PGTM","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","WDF2","WSF2","WT01","WT02","WT03","WT04","WT05","WT08","WT09","WT10"
"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","2013-06-02","7.61"," 0639","0.01",,,,"63","47","   20","19.9","    1",,,,,"    1",,
"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","2013-06-03","4.03"," 1522","0.00",,,,"68","43","  110","16.1",,,,,,,,
"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","2013-06-04","6.93"," 1828","0.00",,,,"72","50","   80","17.0",,,,,,,,
"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","2013-06-05","8.28"," 1605","0.00",,,,"76","56","   70","16.1",,,,,,,,
"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","2013-06-06","9.62"," 1821","0.06",,,,"65","54","   20","16.1",,,,,,,,
"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","2013-06-07","9.17"," 1114","0.00",,,,"68","54","   30","17.0",,,,,,,,
"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","2013-06-08","5.59"," 1418","0.00",,,,"74","50","   60","14.1",,,,,,,,
"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","2013-06-09","8.50"," 1544","0.01",,,,"83","58","  140","19.9",,,,,,,,
"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","2013-06-10","4.47"," 1227","0.85",,,,"75","61","   60","10.1","    1",,"    1",,,"    1",,
"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","2013-06-11","4.03"," 1514","0.24",,,,"84","60","  230","14.1","    1","    1","    1",,,"    1",,
"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","2013-06-12","5.82"," 2202","0.25",,,,"87","64","  330","23.9","    1",,"    1",,,"    1",,
"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","2013-06-13","13.20"," 1246","0.00",,,,"72","59","   20","21.0","    1",,,,,,,
"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","2013-06-14","7.83"," 0056","0.00",,,,"76","57","   70","16.1",,,,,,,,
"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","2013-06-15","7.16"," 2328","0.12",,,,"81","61","  240","23.0",,,"    1",,,,,
"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","2013-06-16","9.62"," 0005","0.00",,,,"83","69","  270","21.9",,,,,,,,
"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","2013-06-17","8.50"," 1849","0.10",,,,"88","62","  350","25.1",,,"    1",,,"    1",,
"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","2013-06-18","12.30"," 1716","0.01",,,,"70","57","   30","21.0","    1",,,,,"    1",,
"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","2013-06-19","7.16"," 1350","0.00",,,,"75","57","   80","14.1",,,,,,,,
"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","2013-06-20","7.16"," 1448","0.00",,,,"86","62","  110","16.1",,,,,,,,
"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","2013-06-21","9.62"," 1212","0.11",,,,"85","70","  320","30.0",,,"    1",,,,,
"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","2013-06-22","7.83"," 1640","0.00",,,,"83","70","  190","17.0",,,,,,,,
"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","2013-06-23","9.62"," 1528","0.00",,,,"89","69","  180","23.9",,,"    1",,,,,
"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","2013-06-24","10.96"," 1700","0.14",,,,"86","68","  250","47.0","    1",,"    1",,,"    1",,
"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","2013-06-25","8.50"," 1308","0.00",,,,"87","70","  200","21.0",,,"    1",,,,,
"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","2013-06-26","8.95"," 1303","0.19",,,,"81","68","   90","21.9","    1",,"    1",,,,,
"USW00014819","CHICAGO MIDWAY AIRPORT, IL US","2013-06-27","6.71"," 1708","0.59",,,,"91","66","  350","44.1","    1","    1","    1",,,"    1",,
