"","Date","visitor_count","is_schyr","quarter","year","school_year"
"352",2010-06-17,1690,1,2,2010,2009
"353",2010-06-18,1371,1,2,2010,2009
"354",2010-06-19,710,1,2,2010,2009
"355",2010-06-20,445,1,2,2010,2009
"356",2010-06-21,2101,1,2,2010,2009
"357",2010-06-22,2107,1,2,2010,2009
"358",2010-06-23,1958,1,2,2010,2009
"359",2010-06-24,2068,1,2,2010,2009
"360",2010-06-25,1574,1,2,2010,2009
"361",2010-06-26,554,1,2,2010,2009
"362",2010-06-27,574,1,2,2010,2009
"363",2010-06-28,2050,1,2,2010,2009
"364",2010-06-29,2054,1,2,2010,2009
"365",2010-06-30,1904,1,2,2010,2009
"366",2010-07-01,1804,0,3,2010,2009
"367",2010-07-02,1271,0,3,2010,2009
"368",2010-07-03,493,0,3,2010,2009
"369",2010-07-04,9,0,3,2010,2009
"370",2010-07-05,977,0,3,2010,2009
"371",2010-07-06,2282,0,3,2010,2009
"372",2010-07-07,2106,0,3,2010,2009
"373",2010-07-08,2057,0,3,2010,2009
"374",2010-07-09,1509,0,3,2010,2009
"375",2010-07-10,521,0,3,2010,2009
"376",2010-07-11,514,0,3,2010,2009
"377",2010-07-12,2042,0,3,2010,2009
"378",2010-07-13,2114,0,3,2010,2009
"379",2010-07-14,2135,0,3,2010,2009
"380",2010-07-15,2124,0,3,2010,2009
"381",2010-07-16,1596,0,3,2010,2009
"382",2010-07-17,546,0,3,2010,2009
"383",2010-07-18,690,0,3,2010,2009
"384",2010-07-19,2082,0,3,2010,2009
"385",2010-07-20,2089,0,3,2010,2009
"386",2010-07-21,2044,0,3,2010,2009
"387",2010-07-22,2120,0,3,2010,2009
"388",2010-07-23,1493,0,3,2010,2009
"389",2010-07-24,489,0,3,2010,2009
"390",2010-07-25,574,0,3,2010,2009
"391",2010-07-26,1981,0,3,2010,2009
"392",2010-07-27,1971,0,3,2010,2009
"393",2010-07-28,2173,0,3,2010,2009
"394",2010-07-29,1990,0,3,2010,2009
"395",2010-07-30,1433,0,3,2010,2009
"396",2010-07-31,484,0,3,2010,2009
"397",2010-08-01,523,0,3,2010,2009
"398",2010-08-02,1836,0,3,2010,2009
"399",2010-08-03,1716,0,3,2010,2009
"400",2010-08-04,1808,0,3,2010,2009
"401",2010-08-05,1845,0,3,2010,2009
"402",2010-08-06,1324,0,3,2010,2009
"403",2010-08-07,399,0,3,2010,2009
"404",2010-08-08,498,0,3,2010,2009
"405",2010-08-09,1742,0,3,2010,2009
"406",2010-08-10,1776,0,3,2010,2009
"407",2010-08-11,1771,0,3,2010,2009
"408",2010-08-12,1811,0,3,2010,2009
"409",2010-08-13,1329,0,3,2010,2009
"410",2010-08-14,413,0,3,2010,2009
"411",2010-08-15,482,0,3,2010,2009
"412",2010-08-16,1699,0,3,2010,2009
"413",2010-08-17,1656,0,3,2010,2009
"414",2010-08-18,1750,0,3,2010,2009
"415",2010-08-19,1621,0,3,2010,2009
"416",2010-08-20,1315,0,3,2010,2009
"417",2010-08-21,449,0,3,2010,2009
"418",2010-08-22,475,0,3,2010,2009
"419",2010-08-23,1695,0,3,2010,2009
"420",2010-08-24,1760,0,3,2010,2009
"421",2010-08-25,1717,0,3,2010,2009
"422",2010-08-26,1592,0,3,2010,2009
"423",2010-08-27,1285,0,3,2010,2009
"424",2010-08-28,487,0,3,2010,2009
"425",2010-08-29,17,0,3,2010,2009
"426",2010-08-30,1727,0,3,2010,2009
"427",2010-08-31,1621,0,3,2010,2009
"428",2010-09-01,1509,0,3,2010,2009
"429",2010-09-02,1479,0,3,2010,2009
"430",2010-09-03,1266,0,3,2010,2009
"431",2010-09-04,446,0,3,2010,2009
"432",2010-09-05,13,0,3,2010,2009
"433",2010-09-06,28,0,3,2010,2009
"434",2010-09-07,1696,0,3,2010,2009
"435",2010-09-08,1757,0,3,2010,2009
"436",2010-09-09,1710,0,3,2010,2009
"437",2010-09-10,1455,0,3,2010,2009
"438",2010-09-11,510,0,3,2010,2009
"439",2010-09-12,11,0,3,2010,2009
"440",2010-09-13,1870,0,3,2010,2009
"441",2010-09-14,1889,0,3,2010,2009
"442",2010-09-15,1908,0,3,2010,2009
"443",2010-09-16,1917,0,3,2010,2009
"444",2010-09-17,1608,0,3,2010,2009
"445",2010-09-18,513,0,3,2010,2009
"446",2010-09-19,274,0,3,2010,2009
"447",2010-09-20,2195,0,3,2010,2009
"448",2010-09-21,2240,0,3,2010,2009
"449",2010-09-22,2753,0,3,2010,2009
"450",2010-09-23,2658,0,3,2010,2009
"451",2010-09-24,2056,0,3,2010,2009
"452",2010-09-25,903,0,3,2010,2009
"453",2010-09-26,889,0,3,2010,2009
"454",2010-09-27,4742,0,3,2010,2009
"455",2010-09-28,4928,0,3,2010,2009
"456",2010-09-29,5150,0,3,2010,2009
"457",2010-09-30,4560,0,3,2010,2009
"458",2010-10-01,3734,1,4,2010,2010
"459",2010-10-02,1538,1,4,2010,2010
"460",2010-10-03,2630,1,4,2010,2010
"461",2010-10-04,5709,1,4,2010,2010
"462",2010-10-05,5391,1,4,2010,2010
"463",2010-10-06,5372,1,4,2010,2010
"464",2010-10-07,4698,1,4,2010,2010
"465",2010-10-08,3558,1,4,2010,2010
"466",2010-10-09,1041,1,4,2010,2010
"467",2010-10-10,2645,1,4,2010,2010
"468",2010-10-11,5169,1,4,2010,2010
"469",2010-10-12,5623,1,4,2010,2010
"470",2010-10-13,5672,1,4,2010,2010
"471",2010-10-14,4749,1,4,2010,2010
"472",2010-10-15,3413,1,4,2010,2010
"473",2010-10-16,1789,1,4,2010,2010
"474",2010-10-17,3217,1,4,2010,2010
"475",2010-10-18,5992,1,4,2010,2010
"476",2010-10-19,5739,1,4,2010,2010
"477",2010-10-20,5547,1,4,2010,2010
"478",2010-10-21,4886,1,4,2010,2010
"479",2010-10-22,3226,1,4,2010,2010
"480",2010-10-23,1884,1,4,2010,2010
"481",2010-10-24,3157,1,4,2010,2010
"482",2010-10-25,5678,1,4,2010,2010
"483",2010-10-26,5604,1,4,2010,2010
"484",2010-10-27,5957,1,4,2010,2010
"485",2010-10-28,4622,1,4,2010,2010
"486",2010-10-29,3206,1,4,2010,2010
"487",2010-10-30,1532,1,4,2010,2010
"488",2010-10-31,3209,1,4,2010,2010
"489",2010-11-01,5340,1,4,2010,2010
"490",2010-11-02,5437,1,4,2010,2010
"491",2010-11-03,5289,1,4,2010,2010
"492",2010-11-04,4569,1,4,2010,2010
"493",2010-11-05,3072,1,4,2010,2010
"494",2010-11-06,1742,1,4,2010,2010
"495",2010-11-07,3160,1,4,2010,2010
"496",2010-11-08,5478,1,4,2010,2010
"497",2010-11-09,5482,1,4,2010,2010
"498",2010-11-10,5517,1,4,2010,2010
"499",2010-11-11,4846,1,4,2010,2010
"500",2010-11-12,3481,1,4,2010,2010
"501",2010-11-13,1608,1,4,2010,2010
"502",2010-11-14,2966,1,4,2010,2010
"503",2010-11-15,5686,1,4,2010,2010
"504",2010-11-16,5418,1,4,2010,2010
"505",2010-11-17,5292,1,4,2010,2010
"506",2010-11-18,4552,1,4,2010,2010
"507",2010-11-19,3319,1,4,2010,2010
"508",2010-11-20,1595,1,4,2010,2010
"509",2010-11-21,2964,1,4,2010,2010
"510",2010-11-22,5254,1,4,2010,2010
"511",2010-11-23,4301,1,4,2010,2010
"512",2010-11-24,2536,1,4,2010,2010
"513",2010-11-25,1,1,4,2010,2010
"514",2010-11-26,868,1,4,2010,2010
"515",2010-11-27,1133,1,4,2010,2010
"516",2010-11-28,2307,1,4,2010,2010
"517",2010-11-29,5585,1,4,2010,2010
"518",2010-11-30,5555,1,4,2010,2010
